id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,prob_func,prob_repair,prob_nonfunc,dist_nearest_functional_km,n_nonfunc_in_area,priority_score,likelihood_nonfunc,impact_score,score_population,score_dist_nearest_functional_km,score_n_nonfunc_in_area,score_quantity
3145,0.0,2013-02-08,Ministry Of Water,1329,Idara ya maji,34.52484653,-5.64946531,Shule Ya Msingi,0,Rufiji,Chang'Ombe,Singida,13,3,Manyoni,Sanjaranda,1600.0,True,GeoData Consultants Ltd,VWC,Sanjaranda water supply,False,1978,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0321725042384745,0.006255327762451756,0.9615721679990736,18.007890066311415,10.0,87.5,0.962,9.1,9.9,9.5,5.2,10
9968,0.0,2013-01-29,Fini Water,268,FINI WATER,39.05768433,-10.35701692,Mpotola,0,Ruvuma / Southern Coast,Majengo,Lindi,80,53,Ruangwa,Malolo,450.0,True,GeoData Consultants Ltd,VWC,,True,1980,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.0019069438508323387,8.002623323981351e-05,0.9980130299159278,13.27642947704518,19.0,87.4,0.998,8.8,8.3,9.1,7.7,10
66855,20.0,2013-01-20,Jica,267,Kokeni,38.91686098,-10.47209091,Kanisani,0,Ruvuma / Southern Coast,Shuleni,Lindi,80,53,Ruangwa,Luchelegwa,1600.0,True,GeoData Consultants Ltd,VWC,,True,2006,india mark iii,india mark iii,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,0.06555229537422082,0.0024014872698124748,0.932046217355967,8.302610825830635,27.0,87.0,0.932,9.3,9.9,8.3,8.8,10
27252,0.0,2013-02-07,Action Aid,768,DWE,29.83181423,-5.19587442,Kwa Mama Noki,0,Lake Tanganyika,Lugongoni,Kigoma,16,3,Kigoma Rural,Ilagala,1500.0,True,GeoData Consultants Ltd,VWC,,True,2008,other,other,other,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.004469003895647812,0.0003772359461190527,0.9951537601582331,35.15494813524939,2.0,86.7,0.995,8.7,9.9,9.9,2.0,10
44941,0.0,2012-11-02,Hesawa,1463,DWE,34.04408067,-1.89932435,Shuleni,0,Lake Victoria,Manyago,Mara,20,4,Bunda,Nyamuswa,1500.0,True,GeoData Consultants Ltd,Parastatal,,False,1991,other,other,other,parastatal,parastatal,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.05777649162426731,0.03684301861528256,0.9053804897604504,16.30911145041723,24.0,86.7,0.905,9.6,9.9,9.4,8.5,10
6309,600.0,2013-01-28,Kidep,795,DWE,29.73645212,-4.89414913,Kwa Ahmad Ali,0,Lake Tanganyika,Miembeni,Kigoma,16,3,Kigoma Rural,Simbo,400.0,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,1992,other,other,other,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.006768221684586686,0.001587277928471873,0.9916445003869415,10.39031949551132,33.0,86.6,0.992,8.7,7.9,8.7,9.2,10
3315,0.0,2013-01-24,Fini Water,375,Fini Water,38.66699022,-10.27234885,Visimani,0,Ruvuma / Southern Coast,Tankini,Lindi,8,3,Nachingwea,Mnero Miembeni,360.0,True,GeoData Consultants Ltd,VWC,,False,1988,other,other,other,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.003277706408384262,0.0001887919946848805,0.9965335015969309,15.266523037508062,26.0,86.5,0.997,8.7,7.6,9.3,8.7,10
61689,0.0,2011-08-01,Hesawa,0,DWE,33.15829235,-2.46764408,Kwa Maingu,0,Lake Victoria,Nyakasenge,Mwanza,19,2,Magu,Kongolo,400.0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.004161106662022999,0.0007037938227297362,0.9951350995152474,9.244515834502506,33.0,86.3,0.995,8.7,7.9,8.5,9.2,10
55024,0.0,2013-02-12,Government Of Tanzania,140,DWE,39.08053067,-8.54902978,Kwamagereza,0,Ruvuma / Southern Coast,Ngorongoro,Lindi,80,13,Kilwa,Chumo,530.0,,GeoData Consultants Ltd,,,True,1985,other,other,other,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.009381145008619198,0.0022911843126911476,0.9883276706786898,6.860609243699084,14.0,85.7,0.988,8.7,9.3,7.8,6.6,10
13433,0.0,2013-02-09,Caritas,794,DWE,29.8025642,-5.28204701,Mwamko,0,Lake Tanganyika,Mwamko,Kigoma,16,3,Kigoma Rural,Sunuka,2500.0,False,GeoData Consultants Ltd,VWC,,True,1999,other,other,other,vwc,user-group,unknown,unknown,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,0.01633522466021679,0.006577703501526702,0.9770870718382566,44.92138167873342,2.0,85.6,0.977,8.8,9.9,9.9,2.0,10
24795,600.0,2012-10-23,Kanisa La Menonite,1209,MTN,34.07145727,-1.12785841,Kwa Mzee Matiko,0,Lake Victoria,Nyahera,Mara,20,6,Tarime,Tai,500.0,,GeoData Consultants Ltd,Private operator,Mradi wa maji Shirati,False,1985,submersible,submersible,submersible,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,0.024544374663667656,0.0017365773020356046,0.9737190480342969,21.780160525872713,11.0,85.6,0.974,8.8,8.8,9.7,5.6,10
9067,0.0,2012-11-06,Hesawa,1263,DWE,33.82445707,-1.9706326,Kwa Minyako,0,Lake Victoria,Nyamkong'Oti,Mara,20,4,Bunda,Kabasa,420.0,True,GeoData Consultants Ltd,WUG,,False,1987,other,other,other,wug,user-group,unknown,unknown,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.0011098230225484826,0.00032892461422773055,0.9985612523632238,7.716971163486167,23.0,85.6,0.999,8.6,8.2,8.1,8.4,10
58940,0.0,2013-01-17,Hesawa,1152,DWE,33.53866131,-2.16359448,Kwa Bitura Gwaranda,0,Lake Victoria,Kabibi,Mara,20,4,Bunda,Neruma,400.0,False,GeoData Consultants Ltd,WUG,,False,1998,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.001756765912087849,0.002885693257364007,0.9953575408305481,7.927648829022753,29.0,85.2,0.995,8.6,7.9,8.2,9.0,10
64786,0.0,2012-10-17,Government Of Tanzania,0,Government,33.14355916,-3.87991202,Kwa Itungwa Malengela,0,Internal,Sengerema,Shinyanga,17,3,Shinyanga Rural,Tinde,500.0,True,GeoData Consultants Ltd,VWC,Husia Dam,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,dam,dam,surface,communal standpipe multiple,communal standpipe,0.009299574636093192,0.0008693854802420102,0.9898310398836648,3.9133665020564985,42.0,85.1,0.99,8.6,8.8,6.6,9.5,10
40834,0.0,2011-08-01,Redep,0,DWE,33.15598605,-2.48528342,Kwa Mchnga,0,Lake Victoria,Chabula,Mwanza,19,2,Magu,Kongolo,400.0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.004161106662022999,0.0005996271560630696,0.9952392661819139,7.273920973863554,34.0,85.1,0.995,8.6,7.9,8.0,9.3,10
53540,0.0,2012-10-12,World Bank,0,World Bank,33.14491487,-3.71753771,Kwa Kulwa Lusoka,0,Lake Victoria,Kaselya,Shinyanga,17,3,Shinyanga Rural,Usule,500.0,True,GeoData Consultants Ltd,VWC,Kaselya,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.03434307569828787,0.0042018769797812034,0.9614550473219309,6.288228632426296,35.0,85.0,0.961,8.8,8.8,7.6,9.3,10
4705,0.0,2012-10-25,Ministry Of Water,1197,Wizara ya maji,33.88443297,-1.25173025,Kwa Jumbe Shabab,0,Lake Victoria,Kyangasaga,Mara,20,6,Rorya,Nyamagaro,450.0,,GeoData Consultants Ltd,VWC,Mradi wa maji Vijijni,False,1985,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,0.021772558128742975,0.00018197191389918523,0.9780454699573579,29.793914696431145,12.0,84.9,0.978,8.7,8.3,9.8,6.1,10
66802,0.0,2012-10-25,Ministry Of Water,1195,Wizara ya maji,33.88554775,-1.25296963,Kwa Juma Lumbika,0,Lake Victoria,Kyangasaga,Mara,20,6,Rorya,Nyamagaro,450.0,,GeoData Consultants Ltd,VWC,Mradi wa maji Vijijni,False,1985,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,0.021494780350965196,0.00018197191389918523,0.9783232477351357,29.61197176105176,12.0,84.9,0.978,8.7,8.3,9.8,6.1,10
8691,0.0,2013-02-04,Tasaf,1087,DWE,31.04608844,-5.05419563,Kwa Yorodan,0,Lake Tanganyika,Kibondo,Kigoma,16,3,Kigoma Rural,Mtego wa Noti,1750.0,True,GeoData Consultants Ltd,VWC,,True,2005,other,other,other,vwc,user-group,unknown,unknown,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other,0.006755606071620295,0.005429345321182229,0.9878150486071974,6.326940916756101,9.0,84.9,0.988,8.6,9.9,7.7,4.9,10
34104,0.0,2012-10-25,Ministry Of Water,1224,Wizara ya maji,33.91520406,-1.24288019,Kwa Chiro Kikube,0,Lake Victoria,Isenga,Mara,20,6,Rorya,Nyamagaro,500.0,,GeoData Consultants Ltd,,Mradi wa maji vijijini,False,1976,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,0.04765984775096099,0.0020261232588584957,0.9503140289901806,27.80462909463825,13.0,84.9,0.95,8.9,8.8,9.8,6.3,10
32300,600.0,2012-10-23,Kanisa La Menonite,1210,MTN,34.09463754,-1.12111155,Kwa Mzee Adebo,0,Lake Victoria,Senta,Mara,20,6,Tarime,Tai,456.0,,GeoData Consultants Ltd,Private operator,Mradi wa maji Shirati,False,1985,submersible,submersible,submersible,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,0.009900949326399318,0.00013438462036741988,0.9899646660532332,19.736144287397178,11.0,84.9,0.99,8.6,8.3,9.6,5.6,10
13688,0.0,2012-10-12,World Bank,0,World Bank,33.14303904,-3.70774543,Kwa Rubegesa,0,Lake Victoria,Manai,Shinyanga,17,3,Shinyanga Rural,Usule,500.0,True,GeoData Consultants Ltd,VWC,Kaselya,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0365737029703911,0.003969083440777432,0.9594572135888314,6.636606558841229,31.0,84.9,0.959,8.8,8.8,7.8,9.1,10
66031,0.0,2012-11-13,Ministry Of Water,1182,Hesawa,33.9676701,-1.42240437,Sekondari,0,Lake Victoria,Ntoroko,Mara,20,6,Rorya,Komuge,450.0,True,GeoData Consultants Ltd,VWC,Mradi wa maji Komuge,False,1983,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,0.004970270215728875,0.0003328031302405547,0.9946969266540305,13.822486389716973,12.0,84.8,0.995,8.5,8.3,9.2,6.1,10
3105,0.0,2013-02-25,Amref,237,Amref,39.79873591,-10.43219902,Msikitini,0,Ruvuma / Southern Coast,Mtalala,Mtwara,99,1,Mtwara Rural,Mnima,600.0,True,GeoData Consultants Ltd,VWC,Mtama water supply,True,2012,mono,mono,motorpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.010902498776810661,0.00045428061488885294,0.9886432206083003,11.298195683847052,6.0,84.7,0.989,8.6,9.4,8.9,3.8,10
30412,0.0,2013-02-11,Ministry Of Water,1225,Idara ya maji,34.83728919,-6.07084267,Kwa Eunice Sumatia,0,Rufiji,Chitopeni,Singida,13,3,Manyoni,Chikola,500.0,False,GeoData Consultants Ltd,VWC,Chikola water supply,False,1975,mono,mono,motorpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0028991266066850908,0.0009504597877637702,0.9961504136055511,30.52361268520585,5.0,84.7,0.996,8.5,8.8,9.8,3.4,10
64849,600.0,2013-01-28,Tacare,813,DWE,29.74167014,-4.90671691,Ginell,0,Lake Tanganyika,Kati,Kigoma,16,3,Kigoma Rural,Simbo,330.0,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,1992,other,other,other,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.00844701335448945,0.0015870396218826421,0.9899659470236278,11.262705225501993,35.0,84.7,0.99,8.6,7.4,8.9,9.3,10
26021,0.0,2012-10-12,World Bank,0,World Bank,33.14878658,-3.70143125,Kwa Renald Masungwa,0,Lake Victoria,Kazuni,Shinyanga,17,3,Shinyanga Rural,Usule,500.0,True,GeoData Consultants Ltd,VWC,Kaselya,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0347950269527236,0.003990555114342271,0.961214417932934,6.214596539672635,30.0,84.6,0.961,8.8,8.8,7.6,9.1,10
49532,0.0,2013-02-11,Ministry Of Water,1230,Idara ya maji,34.84098871,-6.07760769,Kwa Joyce Msenga,0,Rufiji,Chikola,Singida,13,3,Manyoni,Chikola,500.0,False,GeoData Consultants Ltd,VWC,Chikola water supply,False,1975,mono,mono,motorpump,vwc,user-group,never pay,never pay,salty abandoned,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0038307291625261732,0.0011100562775679102,0.9950592145599059,31.205268884327925,5.0,84.6,0.995,8.5,8.8,9.9,3.4,10
629,0.0,2012-10-12,World Bank,0,World Bank,33.15080282,-3.71996098,Kwa Richard Igogo,0,Lake Victoria,Gungui,Shinyanga,17,3,Shinyanga Rural,Usule,500.0,True,GeoData Consultants Ltd,VWC,Kaselya,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.03276729764288278,0.004220197995429199,0.963012504361688,5.6277080422530945,34.0,84.4,0.963,8.8,8.8,7.4,9.3,10
6075,0.0,2012-10-12,World Bank,0,World Bank,33.15125037,-3.7060111,Kazuni Shuleni,0,Lake Victoria,Kazuni,Shinyanga,17,3,Shinyanga Rural,Usule,500.0,True,GeoData Consultants Ltd,VWC,Kaselya,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0347950269527236,0.003990555114342271,0.961214417932934,5.79858421494306,32.0,84.3,0.961,8.8,8.8,7.4,9.2,10
26191,0.0,2011-07-30,Government Of Tanzania,1211,RWE,33.07594555,-2.00683587,School,0,Lake Victoria,Buyoga,Mwanza,19,1,Ukerewe,Murutunguru,2000.0,True,GeoData Consultants Ltd,VWC,,True,1974,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,lake,river/lake,surface,communal standpipe multiple,communal standpipe,0.001822400434865478,0.004898549397821237,0.9932790501673132,9.189244804849546,36.0,84.2,0.993,8.5,9.9,8.5,9.4,5
7233,0.0,2013-01-19,African Development Foundation,1200,AFRICAN DEVELOPMENT FOUNDATION,33.41447796,-2.09870318,Kwa Magesa Pole,0,Lake Victoria,Nansururu,Mara,20,4,Bunda,Kibara,480.0,False,GeoData Consultants Ltd,WUG,,False,1997,other,other,other,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.011029580537376321,0.005113063338730671,0.9838573561238929,6.165465261953485,26.0,84.1,0.984,8.6,8.4,7.6,8.7,10
16165,0.0,2012-11-11,Government Of Tanzania,0,Government,33.92971466,-3.45554288,Tanzania,0,Internal,Jinikulu,Shinyanga,17,2,Maswa,Lalago,500.0,True,GeoData Consultants Ltd,VWC,,False,0,other,other,other,wug,user-group,other,other,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,0.011213764943170383,0.002756848035920866,0.9860293870209088,11.245220909638414,10.0,84.1,0.986,8.5,8.8,8.9,5.2,10
41748,0.0,2013-02-01,Cct,812,Regional Water,39.06420832,-10.60895317,Kwa Mpinga,0,Ruvuma / Southern Coast,Mnyengachi,Mtwara,90,33,Newala,Chilangala,370.0,True,GeoData Consultants Ltd,VWC,Mbwinji,False,1978,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,0.009608709488817528,0.009751984634174963,0.9806393058770076,13.86469065610363,21.0,84.0,0.981,8.6,7.6,9.2,8.2,10
19698,0.0,2011-07-21,Government Of Tanzania,0,DWE,33.02211155,-2.61183362,Bujingwa Ps,0,Lake Victoria,Fumagila Masharik,Mwanza,19,3,Magu,Magu Urban,400.0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.011319848952654976,0.0006646190561014012,0.9880155319912437,6.202202726256154,41.0,83.9,0.988,8.5,7.9,7.6,9.5,10
69784,600.0,2013-01-27,Isf,784,DWE,29.73167216,-4.87564649,Kwa Nzomali,0,Lake Tanganyika,Simbo A,Kigoma,16,3,Kigoma Rural,Simbo,320.0,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,1990,other,other,other,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.00496466287150355,0.002220946398124153,0.9928143907303723,9.364190040438366,33.0,83.8,0.993,8.4,7.3,8.5,9.2,10
2609,0.0,2012-10-18,Ministry Of Water,1322,Hesawa,34.18078384,-1.14855096,Nyang'Yendo,0,Lake Victoria,Agake,Mara,20,6,Rorya,Kitembe,1500.0,True,GeoData Consultants Ltd,,,False,1991,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.054995010905895036,0.022037620351762124,0.9229673687423429,9.931469708643986,14.0,83.8,0.923,9.1,9.9,8.6,6.6,10
8371,0.0,2013-02-17,Fini Water,85,Fini water,40.220330700000005,-10.51495257,Kwa Mzungu,0,Ruvuma / Southern Coast,Rizika,Mtwara,99,1,Mtwara Rural,Mahurunga,900.0,True,GeoData Consultants Ltd,,,True,1984,other,other,other,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.01885241377237364,0.0012422868305548504,0.9799052993970716,7.031350777497256,8.0,83.7,0.98,8.5,9.7,7.9,4.6,10
30969,0.0,2012-10-18,Ministry Of Water,1305,Hesawa,34.18283873,-1.13615798,Muspal,0,Lake Victoria,Agake,Mara,20,6,Rorya,Kitembe,2000.0,True,GeoData Consultants Ltd,,,False,1991,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.05796220078413822,0.023454055855243208,0.9185837433606187,10.624110230028553,13.0,83.6,0.919,9.1,9.9,8.8,6.3,10
65520,0.0,2012-10-13,Government Of Tanzania,0,Government,33.08428325,-3.8230766,Didia Shuleni,0,Internal,Danduhu,Shinyanga,17,3,Shinyanga Rural,Didia,500.0,True,GeoData Consultants Ltd,VWC,Husia Dam,True,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,dam,dam,surface,communal standpipe multiple,communal standpipe,0.004954364566460497,0.0003128099973883135,0.994732825436151,2.6666510518140725,39.0,83.5,0.995,8.4,8.8,5.8,9.4,10
41523,0.0,2012-11-05,Hesawa,1280,DWE,33.79970456,-1.93565213,Kwa Kusekwa,0,Lake Victoria,Kambarage,Mara,20,4,Bunda,Wariku,360.0,True,GeoData Consultants Ltd,WUG,,False,1986,other,other,other,wug,user-group,unknown,unknown,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.0004752274545123028,0.00031802481799742303,0.9992067477274903,8.28006266306476,22.0,83.3,0.999,8.3,7.6,8.3,8.3,10
